year,city_temp,global_temp
1825,26.43,8.39
1839,25.79,7.63
1840,25.89,7.80
1841,25.98,7.69
1842,26.14,8.02
1843,26.22,8.17
1844,25.73,7.65
1845,25.62,7.85
1846,26.45,8.55
1847,25.88,8.09
1850,26.01,7.90
1851,26.09,8.18
1852,25.97,8.10
1853,26.18,8.04
1854,25.95,8.21
1855,26.08,8.11
1856,26.17,8.00
1858,26.15,8.10
1859,26.24,8.25
1860,25.93,7.96
1861,25.89,7.85
1863,26.09,8.11
1864,25.92,7.98
1865,26.15,8.18
1866,26.12,8.29
1867,26.04,8.44
1868,26.15,8.25
1869,25.98,8.43
1870,25.57,8.20
1871,25.58,8.12
1872,26.17,8.19
1873,26.40,8.35
1874,26.09,8.43
1875,25.47,7.86
1876,25.72,8.08
1877,26.25,8.54
1878,26.57,8.83
1879,25.75,8.17
1880,26.12,8.12
1881,26.55,8.27
1882,26.10,8.13
1883,26.00,7.98
1884,25.86,7.77
1885,26.22,7.92
1886,26.40,7.95
1887,25.60,7.91
1888,26.26,8.09
1889,26.46,8.32
1890,25.84,7.97
1891,26.14,8.02
1892,26.04,8.07
1893,25.80,8.06
1894,25.99,8.16
1895,26.09,8.15
1896,26.46,8.21
1897,26.58,8.29
1898,26.30,8.18
1899,26.22,8.40
1900,26.53,8.50
1901,26.06,8.54
1902,25.98,8.30
1903,26.15,8.22
1904,25.85,8.09
1905,26.61,8.23
1906,26.33,8.38
1907,26.30,7.95
1908,26.22,8.19
1909,26.29,8.18
1910,26.11,8.22
1911,26.35,8.18
1912,26.52,8.17
1913,26.26,8.30
1914,26.65,8.59
1915,26.68,8.59
1916,26.29,8.23
1917,25.92,8.02
1918,25.90,8.13
1919,26.55,8.38
1920,26.44,8.36
1921,26.23,8.57
1922,26.28,8.41
1923,26.26,8.42
1924,26.38,8.51
1925,26.22,8.53
1926,26.60,8.73
1927,26.45,8.52
1928,26.58,8.63
1929,26.46,8.24
1930,26.72,8.63
1931,26.88,8.72
1932,26.53,8.71
1933,26.37,8.34
1934,26.25,8.63
1935,26.55,8.52
1936,26.60,8.55
1937,26.73,8.70
1938,26.64,8.86
1939,26.58,8.76
1940,26.86,8.76
1941,27.28,8.77
1942,26.92,8.73
1943,26.49,8.76
1944,26.66,8.85
1945,26.64,8.58
1946,26.83,8.68
1947,26.93,8.80
1948,26.80,8.75
1949,26.74,8.59
1950,26.56,8.37
1951,26.84,8.63
1952,26.89,8.64
1953,26.93,8.87
1954,26.65,8.56
1955,26.64,8.63
1956,26.47,8.28
1957,26.79,8.73
1958,27.08,8.77
1959,26.88,8.73
1960,26.93,8.58
1961,26.73,8.80
1962,26.56,8.75
1963,26.77,8.86
1964,26.66,8.41
1965,26.63,8.53
1966,26.89,8.60
1967,26.68,8.70
1968,26.75,8.52
1969,27.06,8.60
1970,26.85,8.70
1971,26.61,8.60
1972,26.94,8.50
1973,26.96,8.95
1974,26.67,8.47
1975,26.64,8.74
1976,26.56,8.35
1977,26.82,8.85
1978,26.90,8.69
1979,26.96,8.73
1980,26.96,8.98
1981,26.98,9.17
1982,26.84,8.64
1983,27.30,9.03
1984,26.48,8.69
1985,26.82,8.66
1986,26.85,8.83
1987,27.18,8.99
1988,27.07,9.20
1989,26.79,8.92
1990,27.13,9.23
1991,26.99,9.18
1992,27.00,8.84
1993,26.93,8.87
1994,27.09,9.04
1995,27.07,9.35
1996,27.04,9.04
1997,27.39,9.20
1998,27.78,9.52
1999,27.02,9.29
2000,27.10,9.20
2001,27.19,9.41
2002,27.41,9.57
2003,27.31,9.53
2004,27.33,9.32
2005,27.49,9.70
2006,27.33,9.53
2007,27.13,9.73
2008,27.07,9.43
2009,27.47,9.51
2010,27.60,9.70
2011,27.28,9.52
2012,27.30,9.51
2013,27.60,9.61
